,speaker,date,title,god_count,healthcare_count,war_count,taxes_count,terrorism_count,immigration_count,pandemic_count,reform_count,criminal_count,climate_count,economy_count,sleepy_count,crooks_count,jobs_count,fraud_count,election_count,energy_count,coal_count,folks_count,mexicans_count,muslims_count,steal_count
0,biden,2019-04-29T21:04:46Z,Joe Biden holds first 2020 campaign rally,4,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0
1,biden,2019-05-18T19:53:18Z,Joe Biden speaks during a campaign rally in Philadelphia,3,1,4,0,0,0,0,0,0,6,4,0,0,0,0,1,5,0,0,0,0,0
2,biden,2019-08-07T21:43:53Z,Full Speech: Biden Condemns Trump’s Rhetoric And White Nationalism | NBC News,2,0,6,0,5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
3,biden,2019-08-19T12:45:01Z,Full speech: Joe Biden speaks at the Iowa Democratic Wing Ding,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,biden,2019-10-03T20:05:37Z,"Joe Biden's Full Remarks in Reno, Nevada | Joe Biden for President",2,0,5,0,0,1,0,2,0,4,1,0,0,0,0,4,1,1,0,0,0,1
5,biden,2019-10-23T16:04:10Z,"Joe Biden Speaks in Scranton, Pennsylvania",8,0,15,0,0,0,0,0,0,5,3,0,0,0,0,0,1,1,0,0,0,0
6,biden,2020-01-21T02:18:03Z,CAMPAIGN 2020: Joe Biden's full 2020 King Day at the Dome speech,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,biden,2020-03-04T03:52:43Z,I'm about to take the stage from California. Tune in to watch live:,2,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
8,biden,2020-03-08T21:31:27Z,I'm about to take the stage from Mississippi. Tune in to watch live:,4,0,4,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0
9,biden,2020-03-11T03:04:25Z,I'm about to take the stage from Philadelphia. Tune in to watch live:,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0
10,biden,2020-03-25T18:11:44Z,Joe Biden delivers remarks on the impact of the Coronavirus on Young Americans. Tune in:,0,2,6,0,0,0,4,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0
11,biden,2020-04-02T21:16:46Z,Joe Biden Delivers Remarks on Implementation & Oversight of CARES Act | Joe Biden For President,0,1,7,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0
12,biden,2020-06-02T16:10:27Z,Joe Biden remarks on Protests,2,0,5,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
13,biden,2020-06-17T18:54:20Z,Vice President Biden Delivers Remarks On Having a Safer Economic Reopening,1,1,7,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
14,biden,2020-06-29T19:46:46Z,Vice President Biden's Remarks at Global Pride | Joe Biden For President,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,biden,2020-06-30T18:07:35Z,Vice President Biden delivers remarks on Trump’s failure to protect the American people,2,6,11,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2
16,biden,2020-07-14T18:58:46Z,Joe Biden Delivers Remarks On His “Build Back Better” Plan For An Equitable Clean Energy Future,0,0,5,0,0,0,2,0,0,11,9,0,0,2,0,0,21,0,0,0,0,0
17,biden,2020-07-21T18:32:25Z,Joe Biden Unveils $775 Billion ‘Build Back Better’ Plan to Boost Child and Elderly Care,1,0,5,0,0,0,4,0,0,1,6,0,0,0,0,2,1,0,0,0,0,0
18,biden,2020-07-28T20:32:32Z,Joe Biden delivers his “Build Back Better” economic recovery plan speech and takes question | FULL,5,1,18,0,0,0,3,2,2,2,14,0,0,0,0,5,2,0,0,0,0,0
