,speaker,date,title,god_count,healthcare_count,war_count,taxes_count,terrorism_count,immigration_count,pandemic_count,reform_count,criminal_count,climate_count,economy_count,sleepy_count,crooks_count,jobs_count,fraud_count,election_count,energy_count,coal_count,folks_count,mexicans_count,muslims_count,steal_count
0,trump,2019-04-28T02:07:41Z,Watch Live: President Trump's MAGA Rally in Green Bay (Full) | NBC News,2,0,7,0,0,7,0,1,1,0,5,1,0,0,1,4,2,0,0,0,0,2
1,trump,2019-05-09T03:55:17Z,"FULL RALLY: President Trump in Panama City Beach, Florida",2,0,3,0,0,7,0,2,4,0,6,1,0,1,0,8,2,0,0,0,0,3
2,trump,2019-05-21T00:39:36Z,"FULL RALLY: President Trump in Montoursville, Pennsylvania",5,1,5,0,0,2,0,1,3,1,4,1,0,0,0,13,6,1,0,0,0,1
3,trump,2019-06-19T01:48:35Z,TRUMP 2020: President Trump Re-Election Campaign Rally - FULL SPEECH,4,3,9,0,1,5,0,2,3,0,3,2,0,0,2,10,5,0,0,0,0,1
4,trump,2019-07-05T15:19:57Z,"President Trump COMPLETE REMARKS at July 4th ""Salute to America"" (C-SPAN)",6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,trump,2019-07-18T01:09:59Z,"FULL RALLY: President Trump Rally in Greenville, North Carolina",5,0,3,0,1,6,0,1,3,0,7,2,0,0,0,15,0,0,0,0,0,1
6,trump,2019-08-02T01:11:44Z,"FULL RALLY: President Trump on Democrats, Economy in Cincinnati, Ohio",3,0,3,0,0,4,0,1,4,1,2,3,0,0,1,5,7,2,0,0,0,4
7,trump,2019-08-16T01:28:24Z,Pres. Trump New Hampshire Rally in Manchester | ABC News Live Coverage,5,0,6,0,0,2,0,1,5,0,3,3,0,0,0,17,2,1,0,0,0,4
8,trump,2019-09-10T00:54:02Z,"Watch LIVE President Trump campaign rally in Fayetteville, North Carolina | ABC News",7,1,3,0,0,1,0,1,9,0,6,1,0,0,0,12,3,0,0,0,0,1
9,trump,2019-09-20T02:59:09Z,"FULL SPEECH President Donald Trump Rally - Rio Rancho, NM. 2019",6,1,9,0,0,2,0,1,7,0,3,0,0,0,2,11,6,0,0,0,0,0
10,trump,2019-10-11T03:05:55Z,"FULL RALLY: President Trump rally in Minneapolis, MN",5,1,7,0,0,2,0,0,3,0,6,3,0,0,5,11,4,0,0,0,0,0
11,trump,2019-10-18T02:33:13Z,"FULL TRUMP RALLY: President Trump holds campaign rally in Dallas, Texas",6,2,10,0,1,3,0,1,0,0,4,1,0,0,2,18,6,0,0,0,0,2
12,trump,2019-11-02T02:18:54Z,Watch Live: President Donald Trump Speaks At Mississippi Campaign Rally | NBC News,5,0,12,0,0,2,0,0,3,0,2,7,0,0,0,11,7,0,0,0,0,0
13,trump,2019-11-05T01:55:14Z,"FULL RALLY: President Trump in Lexington, Kentucky",4,0,14,0,0,3,0,0,2,1,5,4,0,0,1,11,4,3,0,0,0,1
14,trump,2019-11-07T03:09:45Z,Watch Live: President Donald Trump Speaks At A Keep America Great Rally In Louisiana | NBC News,6,0,24,0,0,2,0,1,4,1,3,2,0,0,0,5,11,0,0,0,0,2
15,trump,2019-11-07T03:13:40Z,"FULL RALLY: President Trump Monroe, Louisiana",8,0,21,0,0,2,0,1,4,1,2,2,0,0,0,5,8,0,0,0,0,2
16,trump,2019-11-15T04:19:23Z,"FULL RALLY: President Trump in Bossier City, Louisiana",8,1,16,0,1,2,0,0,6,0,3,6,0,0,1,11,7,0,0,0,0,3
17,trump,2019-11-27T02:14:29Z,KEEP AMERICA GREAT: President Trump FULL RALLY in Florida,6,1,15,0,0,4,0,0,4,0,2,3,0,0,1,8,6,0,0,0,0,0
18,trump,2019-12-11T15:33:15Z,President Donald Trump speaks at his Hershey rally (full speech),4,0,17,0,0,3,0,0,7,0,7,1,0,0,2,9,3,1,0,0,0,1
19,trump,2019-12-20T21:48:33Z,Full Video: President Trump speaks at campaign rally in Battle Creek,4,0,5,0,0,5,0,0,4,1,5,2,0,0,0,14,4,0,0,0,0,0
20,trump,2020-01-10T02:26:58Z,"FULL RALLY: President Trump talks impeachment and more in Toledo, Ohio",4,0,12,0,1,2,0,0,6,0,2,1,0,0,2,11,5,4,0,0,0,0
21,trump,2020-01-15T02:45:40Z,"Donald Trump hosts ""Keep America Great"" rally in Milwaukee, Wis.",5,0,12,0,0,2,0,1,9,0,4,1,0,0,0,5,2,0,0,0,0,1
22,trump,2020-01-29T06:59:18Z,"Trump Rally in Wildwood New Jersey, Jan. 28, 2020, full speech",8,0,5,0,0,3,0,2,10,0,4,0,0,0,0,11,5,0,0,0,0,3
23,trump,2020-01-31T03:12:02Z,"LIVE: President Trump in Des Moines, IA",5,1,6,0,0,6,0,2,5,0,3,5,0,0,0,9,3,0,0,0,0,4
24,trump,2020-02-05T08:14:03Z,LIVE: State of the Union Address,10,0,9,0,1,2,0,3,10,0,5,0,0,0,0,4,3,1,0,0,0,0
25,trump,2020-02-11T01:38:10Z,"LIVE: President Trump in Manchester, NH",3,2,13,0,0,7,0,2,5,0,3,0,0,0,0,4,3,0,0,0,0,0
26,trump,2020-02-20T04:32:33Z,"LIVE: President Trump in Phoenix, AZ",6,1,13,0,0,2,0,1,4,0,6,1,0,0,0,7,11,0,0,0,0,1
